race,mean,count,rate,dataset
Native Hawaiian/PI,0.2485207100591716,169,24.85207100591716,NHAMCS (Real US ED)
Black/African American,0.24290879871434312,12445,24.290879871434313,NHAMCS (Real US ED)
White,0.23107471708722852,28454,23.10747170872285,NHAMCS (Real US ED)
Hispanic,0.22224527910354847,9638,22.224527910354848,NHAMCS (Real US ED)
Unknown/Other,0.2202231018351925,5558,22.02231018351925,NHAMCS (Real US ED)
Multiple,0.20938628158844766,277,20.938628158844764,NHAMCS (Real US ED)
American Indian/AK Native,0.20066889632107024,299,20.066889632107024,NHAMCS (Real US ED)
Asian,0.15654205607476634,1284,15.654205607476634,NHAMCS (Real US ED)
